abbr;name
cerarc3;Cerastium arcticum
chorallo;Corallorhiza trifida
chotri;Corallorhiza trifida
coplap;Coptidium lapponicum
corcho;Corallorhiza trifida
dacarc;Dactylina arctica
draarc;Draba arctica
draba jytky;Micranthes hieraciifolia
draba???;Draba
dryint;Dryas integrifolia
emp;Empetrum nigrum
epilat;Epilobium latifolium
ger;Geranium sylvaticum
gnan;Omalotheca norvegica
gnas;Omalotheca supina
harajuuri;Corallorhiza trifida
hepatica;Hepatica nobilis
lathyrus;Lathyrus vernus
lin;Linnaea borealis
mantykukka;Hypopitys monotropa
michie;Micranthes hieraciifolia
michir;Saxifraga hirculus
micniv;Micranthes nivalis
minua;Minuartia biflora
papa;Papaver radicatum
peddas;Pedicularis dasyantha
pedlab;Pedicularis labradorica
poapra;Poa pratensis
pollons;NA
pyrgra;Pyrola grandiflora
pyrola;Pyrola
rhoalp;Rhododendron lapponicum
rhogro;Rhododendron tomentosum
salarc;Salix arctica
sau;Saussurea alpina
saxi???;Saxifraga
saxmyst;Saxifraga
saxpla;Saxifraga platysepala
saxpol;NA
saxtrh;Saxifraga tricuspidata
saxtri;Saxifraga tricuspidata
siberi;Sibbaldiopsis tridentata
sibgro;Sibbaldiopsis tridentata
silbor;Silene uralensis
silinc;Silene involucrata
silinv;Silene involucrata
silura;Silene uralensis
stellaria;Stellaria
stelon;Stellaria longipes
suruvaippa;Nymphalis antiopa
synrur;Syntrichia ruralis
tofcoc;Tofieldia coccinea
trispia;Trisetum spicatum
ttalvikki;Moneses uniflora
täplätön;NA
vacm;Vaccinium myrtillus
vacu;Vaccinium uliginosum
vacv;Vaccinium vitis-idaea
yovilkka;Goodyera repens
vacoxy;Vaccinium oxycoccos
carglo;Carex globularis
galuli;Galium uliginosum
caltpal;Caltha palustris
alcbor;Alchemilla borealis
caraquxbig;Carex aquatilis x bigelowii
salpolxher;Salix herbacea x polaris
alche;Alchemilla
carcapit;Carex capitata
sallap x has;Salix lapponum x hastata
carcapil;Carex capillaris
poaalpina;Poa alpina
harhyp;Harrimanella hypnoides
salher x pol;Salix herbacea x polaris
carbig x aqu;Carex aquatilis x bigelowii
juntrifidus;Juncus trifidus
rumlon;Rumex longifolius
tripra;Trifolium pratense
valeriana;Valeriana excelsa
valexc;Valeriana excelsa
angsyl;Angelica sylvestris
trirep;Trifolium repens
carparal;Carex parallela
tanvul;Tanacetum vulgare
plamaj;Plantago major
verser;Veronica serpyllifolia
lacalp;Lactuca alpina
allsch;Allium schoenoprasum
caraqubig;Carex aquatilis x bigelowii
salix;Salix
carbigxaqu;Carex aquatilis x bigelowii
salherxpol;Salix herbacea x polaris
sallapxhas;Salix lapponum x hastata
